company_key,company_name,company_disclosed,country_key
co-7fc8389fa382bb79,L21s GmbH,True,de
co-59409c9f63185b33,LBBW Landesbank Baden-Württemberg,True,de
co-aa8baa350801c18d,LINUM Executive Search,True,de
co-ab2a012d3d31df5c,LM IT,True,de
co-7143a6037b6b145d,LSI - Germany GmbH,True,de
co-21609213ccd415f2,Landeshauptstadt Stuttgart,True,de
co-06ac7fda885ed04c,Lenz & Gomez Personaldienstleistungen,True,de
co-5df41ad59fec9d3b,Lenz & Gomez Personaldienstleistungen GmbH,True,de
co-b8e4fc62e7db171b,Lidl Stiftung & Co KG,True,de
co-614c9a4e2a759c3e,Liebherr-Hausgeräte Ochsenhausen GmbH,True,de
co-9d9ea0c90a86a9e1,Liebherr-International Deutschland GmbH,True,de
co-aac070fbcd576d2a,Liebherr-Werk Biberach GmbH,True,de
co-7cdbf98c78bc0738,Lieferando,True,de
co-9f4f9d694e919e62,Lightspeed Commerce,True,de
co-b54aa8569f646fda,LiveEO GmbH,True,de
co-dea0191df34f854e,LogPay Financial Services GmbH,True,de
co-a4d683a9a241e301,Lovehoney Group,True,de
co-d79a06fb2b0046ff,MCA Engineering GmbH,True,de
co-54581c21e9e149fa,MEDIAPLUS Gruppe,True,de
co-8834aca4e03a9a56,METRO AG,True,de
co-957cc2d6600ea316,METYCLE,True,de
co-7560c97e40c25e97,MITOcare GmbH & Co KG,True,de
co-13c5a0b3c09dc333,MMC,True,de
co-3a0b433def51cd3b,MONTANA Group,True,de
co-e4039fb7a1e64b96,MP Karlsruhe,True,de
co-964c675dfa0e0f55,MULTIVAC Sepp Haggenmüller SE & Co. KG,True,de
co-948ebf897d113bc9,MUVN,True,de
co-d01ced0db2543107,Manatal,True,de
co-692e261c579a08d8,Markant Gruppe,True,de
co-03d2964bb81f73a1,Marsh McLennan,True,de
co-44f27f068fa37b9c,Mattel,True,de
co-5b88a36597930665,Mauser Packaging Solutions,True,de
co-01ea5abb61405dd3,Mecklenburgische Versicherungs-Gesellschaft a.G.,True,de
co-3d641c12af3d5c52,Mercedes-Benz AG,True,de
co-d2b7f7551dc823fd,Mercor,True,de
co-da166a5b40e76366,Metro Markets,True,de
co-e8a9a8fca63a6ea7,Michael Page,True,de
co-d11cf7b6acb0de76,Mister Spex,True,de
co-49776b5d33b5019e,Mittwald CM Service,True,de
co-9993abfd58268758,Mittwald CM Service GmbH & Co. KG,True,de
co-42ac167d7f560977,Motel One,True,de
co-0205a608ac7f1b22,Motel One Head Office,True,de
co-db53e0a5c80df0b3,Müller Holding GmbH & Co. KG,True,de
co-d4c6089f984650fa,Müller Service GmbH,True,de
co-466fa47bb3245eb4,N.R.Galaxy,True,de
co-a18b2c5d6729df23,NECT,True,de
co-be68fb15b0b2eea9,NTT DATA Deutschland SE von Jobs-Daheim.de,True,de
co-b39d63fd750c3b2e,Nemensis Ag,True,de
co-6ce6c935fe788552,Nespresso Deutschland GmbH,True,de
co-5816f187e811adaf,Nexperia,True,de
co-d339978f4696d2b5,Nexperia Germany GmbH,True,de
co-9f30f27e74b0a834,Nextwind Management GmbH,True,de
co-ac6ecad77711a51f,Not disclosed,False,de
co-330c85601eb0aa56,ODW-ELEKTRIK GmbH,True,de
co-382ea391df0f5479,Octopus Energy Group,True,de
co-46934b3e4b436922,Office People Personalmanagement GmbH,True,de
co-1e32e3506497a2c2,Orizon GmbH,True,de
co-d47ffa663ea6f2e0,PAUL HARTMANN AG,True,de
co-541efb2b4d753c00,PM-International AG,True,de
co-dade3f795732262f,PRA Group,True,de
co-e9e196870f620c84,Patrizia SE,True,de
co-ea38003bd8626947,Peek & Cloppenburg Düsseldorf,True,de
co-2878da28a4600019,Peek & Cloppenburg* B.V. & Co. KG,True,de
co-285a2ee2754049f4,Pernod Ricard,True,de
co-bc28c2ea08ba9eb7,Personalhaus Bielefeld & Co. KG,True,de
co-029f385691cbc663,Pets Nature GmbH,True,de
co-49d397d89fb7d2a3,Pflegia,True,de
co-276ea5464a37288f,PharmaZell,True,de
co-bc570fb3df8051a3,Planet,True,de
co-cd618fc87524f3c3,Public Value Technologies GmbH,True,de
co-61981db22a30b1af,QPLIX,True,de
co-3bbd8aed5d52acd1,QPLIX GmbH,True,de
co-c8ad576fd5fe2675,QUANTO Solutions,True,de
co-56735da25cbc7312,Qonto,True,de
co-c4bd0a43faa737a2,Quantum-Systems GmbH,True,de
co-a68cc9e7fa35642c,Quince,True,de
co-6cc8a8689f193a65,R+V Allgemeine Versicherung AG,True,de
co-8d862175b57c99b3,RADAS Jobbörse & Personalvermittlung GmbH,True,de
co-b10cebeb9cdc82dc,REMONDIS IT Services GmbH,True,de
co-8524d30a4686ce45,REPA Deutschland GmbH,True,de
co-5cf904442c930d85,REWAG Regensburger Energie- und Wasserversorgung AG & Co KG,True,de
co-b742b22031db612f,REWE Digital GmbH,True,de
co-34e007bb91da54a2,REWE digital,True,de
co-7ea8d4a4bd79c2d9,ROHM Semiconductor,True,de
co-b064d9124c2cff0b,ROSSMANN,True,de
co-4d241d6e89f26ace,ROSTOCK PORT GMBH,True,de
co-3887a9d0a1fcc607,RWE,True,de
co-b3ad9391c36d2664,RWE AG,True,de
co-43c5dda26fa6af27,Rahantech GmbH,True,de
co-1d84c099a023ad67,Ratbacher,True,de
co-6c55fdaf07364699,Ratiodata SE,True,de
co-e561e3527b7257b9,Redcare Pharmacy,True,de
co-2827348bef9cfad1,Reply Deutschland SE,True,de
co-b05f2995fb819b79,Reply Group,True,de
co-8ff45118dd5b91bc,Resmed,True,de
co-54bd23d3971c4e81,Riverty,True,de
co-532678357ffaa41f,Rothenberger Gruppe,True,de
co-f394566a9446f073,Rudolph Workforce GmbH,True,de
co-101164b68cc6b198,S Rating und Risikosysteme GmbH,True,de
co-35e40ac53608d318,S-Payment GmbH,True,de
co-5ee0cb3490153a3d,SAP,True,de
co-aeeab26f0a952bff,SAP Contractors,True,de
co-fb16cde6f25860a3,SINC GmbH,True,de
co-49215f3a2acf2619,SOA Experts,True,de
co-d4cd5a427f0b8a03,SOKA-BAU Urlaubs- und Lohnausgleichskasse der Bauwirtschaft,True,de
co-1e60ff7f223de610,SPIE GSA Business Services,True,de
co-562996188778e135,SPIE Germany Switzerland Austria,True,de
co-8a43c6fdfdf875e1,SPS Consulting & Services,True,de
co-07782a3e2f7907ef,SThree Germany,True,de
co-d008ca36f8522705,SUXXEED Sales for your Success GmbH,True,de
co-c2f4c02453d79715,SYNERGIE Personal Deutschland GmbH,True,de
co-26b80acf96f93dfa,SYNERGIE Personal Solutions,True,de
co-85753778fd3a1ddf,Schmitt Engineering,True,de
co-b82e4fa3923da3fd,Schwarz Corporate Solutions,True,de
co-0faa060f07fc245d,Seier Gruppe,True,de
co-cd3db65a3c8641a2,Seier Holding GmbH & Co. KG,True,de
co-e69d2f19a58382d5,Selecta Klemm GmbH & Co. KG,True,de
co-8e43256e65d559ea,Siemens Energy,True,de
co-2ed6980ea04fc2dc,Siltronic AG,True,de
co-c1958b6ef8d06ee6,SimonsVoss Technologies GmbH,True,de
co-cd1d471f88949879,SkillTank GmbH & Co. KG,True,de
co-14e5b2b779086cc8,Smith & Nephew,True,de
co-84e7691799974e0e,Sollers Consulting,True,de
co-96dfa88e75b725b6,Sonnländer Getränke GmbH,True,de
co-bce40ceee90d649e,Sonntag AG,True,de
co-975f8ff21bf3e289,Sopra-Steria,True,de
co-6f042ddda8a805d1,Sparkassen-Versicherung Sachsen,True,de
co-8ad6005ca1706954,Springer Nature,True,de
co-d374ffacb315ef0d,Stadt Elmshorn,True,de
co-cd223a0687a570c7,Stadtwerke München GmbH,True,de
co-f11c7169b106acc7,Stadtwerke Osnabrück AG,True,de
co-057275290da85a4a,Ströer Media Deutschland GmbH,True,de
co-e39652dd9d369c9b,Syncwork,True,de
co-3ac75cbe4db6acc2,Südtalent,True,de
co-de63902208849a39,TALENT AVENUE,True,de
co-b4d6f802c4f62ba0,TAS ToolBox,True,de
co-9b2f0218c1abc03b,TAS ToolBox GmbH,True,de
co-b5a303e3f4535569,TECHLISTER GmbH,True,de
co-8af38baeb54412d2,TELUS Digital Europe,True,de
co-2e53f62f656ffc68,TNG Stadtnetz,True,de
co-8533f78c50b909ad,TTI,True,de
co-bfefa5bd0c63c861,TUI Cruises GmbH,True,de
co-090f1aa845dbb005,TalentExpress GmbH,True,de
co-3fa6674f3e734992,Techem Energy Services,True,de
co-5b58604a404ba5f7,Techem Energy Services GmbH,True,de
co-3ee0fd8e0d9d676a,Techtronic Industries ELC GmbH,True,de
co-67a2cd1408224f50,Tenth Revolution Group,True,de
co-0fc039b36c2c70d1,The Information Lab,True,de
co-60fd23a3bd82ae32,The Quality Group,True,de
co-9269eebb8c7573f4,The VELUX Group,True,de
co-e8735ae28059469d,Tierarzt Plus GmbH,True,de
co-907ef5f765e99935,Trinetix,True,de
co-3a158d73e6d9b0e4,Turing,True,de
co-34cceee5c1f888ec,TÜV SÜD Auto Service GmbH,True,de
