job_key,snapshot_date_key,country_key,role_key,search_term,query_page,query_result_position,estimated_job_count
de-5788489663,20260903,de,DA,data analyst,5,237,306
de-5791613467,20260903,de,DA,data analyst,5,236,306
de-5793217303,20260903,de,DA,datenanalyst,1,21,25
de-5793393035,20260903,de,DA,data analyst,5,235,306
de-5794024968,20260903,de,DA,data analyst,5,234,306
de-5794789776,20260903,de,DA,data analyst,5,233,306
de-5794801891,20260903,de,DA,data analyst,5,232,306
de-5796235359,20260903,de,BI,BI analyst,1,16,19
de-5798313105,20260903,de,DA,data analyst,5,231,306
de-5799974240,20260903,de,DA,data analyst,5,230,306
de-5801823022,20260903,de,DA,data analyst,5,229,306
de-5802935348,20260903,de,DA,data analyst,5,227,306
de-5802935351,20260903,de,DA,data analyst,5,228,306
de-5802941272,20260903,de,DA,data analyst,5,226,306
de-5802950222,20260903,de,DA,data analyst,5,225,306
de-5802961901,20260903,de,BI,BI analyst,1,15,19
de-5802963262,20260903,de,DA,data analyst,5,224,306
de-5802969084,20260903,de,DA,data analyst,5,223,306
de-5802971414,20260903,de,DA,data analyst,5,222,306
de-5802975615,20260903,de,DA,data analyst,5,221,306
de-5802980918,20260903,de,DA,data analyst,5,220,306
de-5802987103,20260903,de,DA,data analyst,5,219,306
de-5803454368,20260903,de,DA,data analyst,5,218,306
de-5803923930,20260903,de,DA,datenanalyst,1,20,25
de-5803943655,20260903,de,DA,data analyst,5,217,306
de-5804545971,20260903,de,DA,data analyst,5,216,306
de-5804553762,20260903,de,BI,BI analyst,1,14,19
de-5804554931,20260903,de,DA,data analyst,5,215,306
de-5806175401,20260903,de,DA,data analyst,5,214,306
de-5806563462,20260903,de,DA,data analyst,5,213,306
de-5808204469,20260903,de,DA,datenanalyst,1,19,25
de-5808545407,20260903,de,DA,data analyst,5,212,306
de-5808554689,20260903,de,DA,data analyst,5,211,306
de-5809360702,20260903,de,DA,data analyst,5,210,306
de-5810334767,20260903,de,DA,datenanalyst,1,18,25
de-5810565879,20260903,de,DA,data analyst,5,209,306
de-5811155558,20260903,de,DA,data analyst,5,208,306
de-5811747254,20260903,de,DA,data analyst,5,207,306
de-5812407986,20260903,de,DA,data analyst,5,206,306
de-5812644167,20260903,de,DA,data analyst,5,205,306
de-5813675699,20260903,de,DA,data analyst,5,204,306
de-5816408231,20260903,de,DA,data analyst,5,203,306
de-5816408358,20260903,de,DA,data analyst,5,202,306
de-5816415778,20260903,de,BI,BI analyst,1,13,19
de-5816491278,20260903,de,DA,datenanalyst,1,17,25
de-5821137355,20260903,de,DA,data analyst,5,201,306
de-5821322166,20260903,de,DA,data analyst,4,200,306
de-5824172469,20260903,de,DA,data analyst,4,199,306
de-5825713005,20260903,de,DA,data analyst,4,198,306
de-5825713188,20260903,de,DA,data analyst,4,197,306
de-5825767190,20260903,de,DA,data analyst,4,196,306
de-5825806283,20260903,de,DA,data analyst,4,195,306
de-5827630039,20260903,de,DA,data analyst,4,194,306
de-5828967910,20260903,de,DA,data analyst,4,193,306
de-5829149175,20260903,de,BI,business intelligence analyst,1,12,14
de-5829292588,20260903,de,DA,data analyst,4,192,306
de-5829928770,20260903,de,DA,data analyst,4,191,306
de-5830637305,20260903,de,BI,BI analyst,1,12,19
de-5830637305,20260903,de,DA,data analyst,4,190,306
de-5830749157,20260903,de,DA,data analyst,4,189,306
de-5831313567,20260903,de,DA,data analyst,4,188,306
de-5831365784,20260903,de,DA,data analyst,4,187,306
de-5831958852,20260903,de,DA,data analyst,4,186,306
de-5831968659,20260903,de,DA,data analyst,4,185,306
de-5832180650,20260903,de,DA,data analyst,4,184,306
de-5832194729,20260903,de,DA,data analyst,4,183,306
de-5833425418,20260903,de,DA,data analyst,4,182,306
de-5833425456,20260903,de,DA,data analyst,4,181,306
de-5833592056,20260903,de,DA,data analyst,4,180,306
de-5833598668,20260903,de,DA,data analyst,4,179,306
de-5833618547,20260903,de,DA,data analyst,4,178,306
de-5833647960,20260903,de,DA,data analyst,4,177,306
de-5833708491,20260903,de,DA,data analyst,4,176,306
de-5834385116,20260903,de,DA,data analyst,4,175,306
de-5834803083,20260903,de,BI,business intelligence analyst,1,11,14
de-5834805252,20260903,de,BI,business intelligence analyst,1,10,14
de-5834805252,20260903,de,DA,data analyst,4,174,306
de-5834806004,20260903,de,BI,BI analyst,1,11,19
de-5834806004,20260903,de,DA,data analyst,4,173,306
de-5835180910,20260903,de,BI,BI analyst,1,10,19
de-5835234446,20260903,de,BI,BI analyst,1,9,19
de-5835493879,20260903,de,DA,datenanalyst,1,16,25
de-5835515492,20260903,de,BI,BI analyst,1,8,19
de-5835557994,20260903,de,BI,BI analyst,1,7,19
de-5835557994,20260903,de,DA,data analyst,4,172,306
de-5835783804,20260903,de,DA,data analyst,4,171,306
de-5835794982,20260903,de,DA,data analyst,4,170,306
de-5835856791,20260903,de,BI,BI analyst,1,6,19
de-5837408063,20260903,de,DA,data analyst,4,169,306
de-5837408063,20260903,de,DA,datenanalyst,1,15,25
de-5837631451,20260903,de,DA,data analyst,4,168,306
de-5837631451,20260903,de,DA,datenanalyst,1,14,25
de-5838216392,20260903,de,DA,data analyst,4,167,306
de-5838375932,20260903,de,DA,data analyst,4,166,306
de-5838611141,20260903,de,DA,data analyst,4,165,306
de-5838745256,20260903,de,DA,data analyst,4,164,306
de-5840262921,20260903,de,DA,data analyst,4,163,306
